Protected Area Category,Mangrove Area (ha),Mangrove Loss (ha),Relative Loss (%)
Uso Sustentável,553.13,6.15,1.11
Zona de Amortencimento,76.55,1.73,2.26
Tombamento,0.04,0,0
Protecão Integral,1785.97,13.33,0.75
